Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0402,4,15pF,C1548 
C10,0402,1,820pF,C107031
"C11, C17",0603,2,1uF,C15849 
C12,0402,1,47nF,C272875
"C13, C14, C15, C16, C21, C22",0603,6,4.7uF,C19666 
"C18, C19, C20, C23, C8",0402,5,100nF,C1525 
C5,0402,1,0.8pF,C41361068
C6,0402,1,0.5pF,C76912
C7,0402,1,NC,
C9,0402,1,100pF,C1546
"D1, D10, D11, D13, D14, D15, D16, D17, D2, D21, D22, D23, D3, D4, D5, D7, D8, D9",D_SOD-123,18,1N4148W,C81598
D31,0603,1,LED,C2290 
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-14,1,USB_C_Receptacle_USB2.0_14P,C223907
J2,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
L1,0402,1,4.7nH,C86065
"L2, L4",0603,2,10uH,C86083
L3,0402,1,15nH,C86059
Q2,SOT-23,1,2N7002,C8545
"R1, R15, R16, R2",0402,4,5.1k,C25905 
"R10, R3, R6, R8",0402,4,10k,C25744 
R4,0402,1,3.9k,C131467
"R5, R9",0402,2,1.5k,C25867 
R7,0402,1,100,C25076 
"SW10, SW11, SW12, SW14, SW15, SW16, SW17, SW18, SW2, SW22, SW23, SW24, SW3, SW4, SW5, SW6, SW8, SW9",SW_PG1316S,18,SW_Push,
SW31,Switch_Sink_MINI_MSK12CO2,1,SW_SPDT,C2681570 
U1,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840,C190794
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,C15464
U3,WLP-8_1.67x0.93_P0.4,1,MAX17048X,C7497002
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz 12pF,C2682773
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz 12.5pF,C5213671
