Designator,Mid X,Mid Y,Rotation,Layer
C1,177.430097,-98.679104,270.0,bottom
C10,175.755097,-91.819104,0.0,bottom
C11,168.105097,-98.529104,0.0,bottom
C12,167.535097,-97.329104,0.0,bottom
C13,166.1,-86.34,270.0,bottom
C14,167.580097,-86.379104,90.0,bottom
C15,164.345097,-88.544104,0.0,bottom
C16,164.345097,-90.019104,0.0,bottom
C17,164.355097,-96.154104,0.0,bottom
C18,173.030097,-97.309104,180.0,bottom
C19,170.580097,-86.949104,90.0,bottom
C2,173.480097,-98.679104,90.0,bottom
C20,172.305097,-86.959104,90.0,bottom
C21,134.745097,-108.169104,0.0,bottom
C22,138.395097,-105.519104,270.0,bottom
C23,139.470097,-107.969104,90.0,bottom
C3,161.335097,-93.069104,270.0,bottom
C4,164.370097,-91.479104,0.0,bottom
C5,175.295097,-93.619104,270.0,bottom
C6,178.985097,-93.619104,270.0,bottom
C7,178.065097,-92.659104,90.0,bottom
C8,164.905097,-94.954104,180.0,bottom
C9,175.755097,-95.489104,0.0,bottom
D1,100.245097,-70.994104,0.0,top
D10,151.245097,-83.744104,0.0,top
D11,168.245097,-85.869104,0.0,top
D13,100.245097,-104.994104,0.0,top
D14,117.245097,-100.744104,0.0,top
D15,134.245097,-98.619104,0.0,top
D16,151.245097,-100.744104,0.0,top
D17,168.245097,-102.869104,0.0,top
D2,117.245097,-66.744104,0.0,top
D21,142.745097,-117.744104,0.0,top
D22,159.770097,-119.819104,0.0,top
D23,176.770097,-119.869104,0.0,top
D3,134.245097,-64.619104,0.0,top
D31,130.345097,-111.019104,180.0,top
D4,151.245097,-66.744104,0.0,top
D5,168.245097,-68.869104,0.0,top
D7,100.245097,-87.994104,0.0,top
D8,117.245097,-83.744104,0.0,top
D9,134.245097,-81.619104,0.0,top
J1,176.745097,-69.299104,180.0,bottom
J2,136.790097,-110.694104,270.0,bottom
L1,176.680097,-93.139104,0.0,bottom
L2,165.135097,-97.619104,0.0,bottom
L3,164.425097,-98.819104,180.0,bottom
L4,163.870097,-87.069104,0.0,bottom
Q2,141.060097,-105.519104,180.0,bottom
R1,171.742597,-72.044104,0.0,bottom
R10,137.335097,-108.429104,0.0,bottom
R15,166.870097,-103.469104,180.0,bottom
R16,166.870097,-102.469104,180.0,bottom
R2,171.742597,-72.994104,0.0,bottom
R3,170.580097,-84.779104,0.0,bottom
R4,137.760097,-107.489104,0.0,bottom
R5,136.420097,-102.019104,270.0,bottom
R6,141.145097,-103.319104,0.0,bottom
R7,138.920097,-103.319104,0.0,bottom
R8,133.245097,-64.269104,270.0,bottom
R9,133.267597,-103.019104,0.0,bottom
SW10,134.245097,-84.119104,0.0,top
SW11,151.245097,-86.244104,0.0,top
SW12,168.245097,-88.369104,0.0,top
SW14,100.245097,-107.494104,0.0,top
SW15,117.245097,-103.244104,0.0,top
SW16,134.245097,-101.119104,0.0,top
SW17,151.245097,-103.244104,0.0,top
SW18,168.245097,-105.369104,0.0,top
SW2,100.245097,-73.494104,0.0,top
SW22,142.745097,-120.244104,0.0,top
SW23,159.745097,-122.369104,0.0,top
SW24,176.745097,-122.369104,0.0,top
SW3,117.245097,-69.244104,0.0,top
SW31,134.245097,-60.114104,180.0,bottom
SW4,134.245097,-67.119104,0.0,top
SW5,151.245097,-69.244104,0.0,top
SW6,168.245097,-71.369104,0.0,top
SW8,100.245097,-90.494104,0.0,top
SW9,117.245097,-86.244104,0.0,top
U1,170.335097,-92.369104,180.0,bottom
U2,135.520097,-105.269104,90.0,bottom
U3,141.16,-109.32,270.0,bottom
Y1,175.455097,-98.679104,180.0,bottom
Y2,163.815097,-93.109104,180.0,bottom
