Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0402,4,15pF,
C10,0402,1,820pF,
"C11, C17",0603,2,1uF,
C12,0402,1,47nF,
"C13, C14, C15, C16",0603,4,4.7uF,
"C18, C19, C20, C8",0402,4,100nF,
C5,0402,1,0.8pF,
C6,0402,1,0.5pF,
C7,0402,1,NC,
C9,0402,1,100pF,
L1,0402,1,4.7nH,
"L2, L4",0603,2,10uH,
L3,0402,1,15nH,
R3,0402,1,10k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW4, SW5, SW6, SW7, SW8, SW9",SW_PG1316S,30,SW_Push,
U1,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz 12pF,C2682773
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz 12.5pF,C5213671
