Designator,Mid X,Mid Y,Rotation,Layer
C1,105.575,-49.25,90.0,bottom
C10,107.25,-56.45,180.0,bottom
C11,114.725,-49.4,180.0,bottom
C12,114.875,-50.6,180.0,bottom
C13,116.9,-61.55,90.0,bottom
C14,115.425,-61.55,270.0,bottom
C15,118.65,-59.125,180.0,bottom
C16,118.65,-57.65,180.0,bottom
C17,118.65,-51.775,180.0,bottom
C18,109.975,-50.62,0.0,bottom
C19,112.425,-60.98,270.0,bottom
C2,109.525,-49.25,270.0,bottom
C20,109.425,-61.0,270.0,bottom
C3,121.65,-54.83,90.0,bottom
C4,118.43,-56.45,180.0,bottom
C5,107.975,-54.32,90.0,bottom
C6,104.105,-54.32,90.0,bottom
C7,105.025,-54.32,90.0,bottom
C8,118.1,-52.975,0.0,bottom
C9,107.25,-52.5,180.0,bottom
L1,106.5,-54.8,180.0,bottom
L2,116.95,-49.55,90.0,bottom
L3,116.265,-47.6,0.0,bottom
L4,119.125,-60.6,180.0,bottom
R3,112.425,-62.375,180.0,bottom
SW1,112.5,-51.0,0.0,top
SW10,166.5,-68.0,0.0,top
SW11,184.5,-68.0,0.0,top
SW12,202.5,-68.0,0.0,top
SW13,112.5,-85.0,0.0,top
SW14,130.5,-85.0,0.0,top
SW15,148.5,-85.0,0.0,top
SW16,166.5,-85.0,0.0,top
SW17,184.5,-85.0,0.0,top
SW18,202.5,-85.0,0.0,top
SW19,112.5,-102.0,0.0,top
SW2,130.5,-51.0,0.0,top
SW20,130.5,-102.0,0.0,top
SW21,148.5,-102.0,0.0,top
SW22,166.5,-102.0,0.0,top
SW23,184.5,-102.0,0.0,top
SW24,202.5,-102.0,0.0,top
SW25,112.5,-119.0,0.0,top
SW26,130.5,-119.0,0.0,top
SW27,148.5,-119.0,0.0,top
SW28,166.5,-119.0,0.0,top
SW29,184.5,-119.0,0.0,top
SW3,148.5,-51.0,0.0,top
SW30,202.5,-119.0,0.0,top
SW4,166.5,-51.0,0.0,top
SW5,184.5,-51.0,0.0,top
SW6,202.5,-51.0,0.0,top
SW7,112.5,-68.0,0.0,top
SW8,130.5,-68.0,0.0,top
SW9,148.5,-68.0,0.0,top
U1,112.675,-55.575,0.0,bottom
Y1,107.55,-49.25,0.0,bottom
Y2,119.19,-54.82,0.0,bottom
