Designator,Mid X,Mid Y,Rotation,Layer
C1,103.6775,-92.666916,90.0,bottom
C10,105.3525,-99.526916,180.0,bottom
C11,113.0025,-92.816916,180.0,bottom
C12,113.5725,-94.016916,180.0,bottom
C13,115.0025,-104.966916,90.0,bottom
C14,113.5275,-104.966916,270.0,bottom
C15,116.7625,-102.801916,180.0,bottom
C16,116.7625,-101.326916,180.0,bottom
C17,116.7525,-95.191916,180.0,bottom
C18,108.0775,-94.036916,0.0,bottom
C19,110.5275,-104.396916,270.0,bottom
C2,107.6275,-92.666916,270.0,bottom
C20,108.02,-104.386916,270.0,bottom
C21,142.935,-112.31,0.0,bottom
C22,146.585,-109.66,270.0,bottom
C23,138.93,-112.56,90.0,bottom
C3,119.7725,-98.276916,90.0,bottom
C4,116.7375,-99.866916,180.0,bottom
C5,105.8,-97.725,90.0,bottom
C6,100.810001,-98.675,270.0,bottom
C7,101.730001,-97.695,90.0,bottom
C8,116.2025,-96.391916,0.0,bottom
C9,105.36,-96.36,180.0,bottom
D1,179.55,-75.099416,0.0,top
D10,128.55,-87.849416,0.0,top
D11,111.55,-89.974416,0.0,top
D13,179.55,-109.099416,0.0,top
D14,162.55,-104.849416,0.0,top
D15,145.55,-102.724416,0.0,top
D16,128.55,-104.849416,0.0,top
D17,111.55,-106.974416,0.0,top
D2,162.55,-70.849416,0.0,top
D21,137.05,-121.849416,0.0,top
D22,120.075,-123.924416,0.0,top
D23,103.075,-123.974416,0.0,top
D3,145.55,-68.724416,0.0,top
D31,148.75,-115.09,180.0,top
D4,128.55,-70.849416,0.0,top
D5,111.55,-72.974416,0.0,top
D7,179.55,-92.099416,0.0,top
D8,162.55,-87.849416,0.0,top
D9,145.55,-85.724416,0.0,top
J1,103.059999,-73.409416,180.0,bottom
J2,142.42,-114.79,90.0,bottom
L1,103.115001,-98.195,180.0,bottom
L2,115.9725,-93.726916,180.0,bottom
L3,115.465,-92.526916,0.0,bottom
L4,117.2375,-104.276916,180.0,bottom
Q2,149.25,-109.66,180.0,bottom
R1,100.9,-77.565,0.0,bottom
R10,145.525,-112.57,0.0,bottom
R15,109.99,-107.51,180.0,bottom
R16,107.78,-106.37,0.0,bottom
R2,100.9,-78.515,0.0,bottom
R3,110.5275,-106.566916,180.0,bottom
R4,145.95,-111.63,0.0,bottom
R5,144.61,-106.16,270.0,bottom
R6,149.335,-107.46,0.0,bottom
R7,147.11,-107.46,0.0,bottom
R8,144.55,-68.374416,270.0,bottom
R9,142.1225,-106.79,0.0,bottom
SW10,145.55,-88.224416,0.0,top
SW11,128.55,-90.349416,0.0,top
SW12,111.55,-92.474416,0.0,top
SW14,179.55,-111.599416,0.0,top
SW15,162.55,-107.349416,0.0,top
SW16,145.55,-105.224416,0.0,top
SW17,128.55,-107.349416,0.0,top
SW18,111.55,-109.474416,0.0,top
SW2,179.55,-77.599416,0.0,top
SW22,137.05,-124.349416,0.0,top
SW23,120.05,-126.474416,0.0,top
SW24,103.05,-126.474416,0.0,top
SW3,162.55,-73.349416,0.0,top
SW31,145.55,-64.219416,180.0,bottom
SW4,145.55,-71.224416,0.0,top
SW5,128.55,-73.349416,0.0,top
SW6,111.55,-75.474416,0.0,top
SW8,179.55,-94.599416,0.0,top
SW9,162.55,-90.349416,0.0,top
U1,110.7725,-98.976916,0.0,bottom
U2,143.71,-109.41,90.0,bottom
U3,137.3,-113.04,90.0,bottom
Y1,105.6525,-92.666916,0.0,bottom
Y2,117.2925,-98.236916,0.0,bottom
